collectionName;elementSize;collectionSize;Read/Writes;Insert/Deletes;TotalOperations/Second
TieredArrayChunkSize2;1;10000000;100;0;180000000
TieredArrayRandomChunkSize2;1;10000000;100;0;20000002
TieredArrayChunkSize4;1;10000000;100;0;180000000
TieredArrayRandomChunkSize4;1;10000000;100;0;20000002
TieredArrayChunkSize8;1;10000000;100;0;180000000
TieredArrayRandomChunkSize8;1;10000000;100;0;30000003
TieredArrayChunkSize16;1;10000000;100;0;180000000
TieredArrayRandomChunkSize16;1;10000000;100;0;30000003
UnrolledLinkedListChunkSize8;1;10000000;100;0;69524590
UnrolledLinkedListRandomChunkSize8;1;10000000;100;0;57253340
UnrolledLinkedListChunkSize16;1;10000000;100;0;70033602
UnrolledLinkedListRandomChunkSize16;1;10000000;100;0;57872372
UnrolledLinkedListChunkSize32;1;10000000;100;0;65343474
UnrolledLinkedListRandomChunkSize32;1;10000000;100;0;69715580
std::vector;1;10000000;99;1;8000
std::vector_random;1;10000000;99;1;16000
std::forward_list;1;10000000;99;1;168423200
std::forward_list_random;1;10000000;99;1;468487200
TieredArrayChunkSize2;1;10000000;99;1;2200
TieredArrayRandomChunkSize2;1;10000000;99;1;4600
TieredArrayChunkSize4;1;10000000;99;1;4600
TieredArrayRandomChunkSize4;1;10000000;99;1;9400
TieredArrayChunkSize8;1;10000000;99;1;5400
TieredArrayRandomChunkSize8;1;10000000;99;1;11200
TieredArrayChunkSize16;1;10000000;99;1;5600
TieredArrayRandomChunkSize16;1;10000000;99;1;11600
UnrolledLinkedListChunkSize8;1;10000000;99;1;67549740
UnrolledLinkedListRandomChunkSize8;1;10000000;99;1;31359036
UnrolledLinkedListChunkSize16;1;10000000;99;1;71141159
UnrolledLinkedListRandomChunkSize16;1;10000000;99;1;42778888
UnrolledLinkedListChunkSize32;1;10000000;99;1;47826507
UnrolledLinkedListRandomChunkSize32;1;10000000;99;1;56748165
std::vector;1;10000000;90;10;800
std::vector_random;1;10000000;90;10;1520
std::forward_list;1;10000000;90;10;147569900
std::forward_list_random;1;10000000;90;10;263155740
TieredArrayChunkSize2;1;10000000;90;10;220
TieredArrayRandomChunkSize2;1;10000000;90;10;380
TieredArrayChunkSize4;1;10000000;90;10;460
TieredArrayRandomChunkSize4;1;10000000;90;10;880
TieredArrayChunkSize8;1;10000000;90;10;540
TieredArrayRandomChunkSize8;1;10000000;90;10;1000
TieredArrayChunkSize16;1;10000000;90;10;560
TieredArrayRandomChunkSize16;1;10000000;90;10;1040
UnrolledLinkedListChunkSize8;1;10000000;90;10;44294502
UnrolledLinkedListRandomChunkSize8;1;10000000;90;10;18065292
UnrolledLinkedListChunkSize16;1;10000000;90;10;63968038
UnrolledLinkedListRandomChunkSize16;1;10000000;90;10;20561214
UnrolledLinkedListChunkSize32;1;10000000;90;10;64712896
UnrolledLinkedListRandomChunkSize32;1;10000000;90;10;22115278
std::vector;1;10000000;50;50;160
std::vector_random;1;10000000;50;50;320
std::forward_list;1;10000000;50;50;63923560
std::forward_list_random;1;10000000;50;50;75241216
TieredArrayChunkSize2;1;10000000;50;50;44
TieredArrayRandomChunkSize2;1;10000000;50;50;96
TieredArrayChunkSize4;1;10000000;50;50;92
TieredArrayRandomChunkSize4;1;10000000;50;50;192
TieredArrayChunkSize8;1;10000000;50;50;108
TieredArrayRandomChunkSize8;1;10000000;50;50;212
TieredArrayChunkSize16;1;10000000;50;50;112
TieredArrayRandomChunkSize16;1;10000000;50;50;224
UnrolledLinkedListChunkSize8;1;10000000;50;50;40939366
UnrolledLinkedListRandomChunkSize8;1;10000000;50;50;5942823
UnrolledLinkedListChunkSize16;1;10000000;50;50;39754894
UnrolledLinkedListRandomChunkSize16;1;10000000;50;50;9269799
UnrolledLinkedListChunkSize32;1;10000000;50;50;36079190
UnrolledLinkedListRandomChunkSize32;1;10000000;50;50;9551853
std::vector;2;10000000;100;0;40000004
std::vector_random;2;10000000;100;0;20000002
std::forward_list;2;10000000;100;0;30000000
std::forward_list_random;2;10000000;100;0;25211514
TieredArrayChunkSize2;2;10000000;100;0;40000000
TieredArrayRandomChunkSize2;2;10000000;100;0;20000002
TieredArrayChunkSize4;2;10000000;100;0;40000000
TieredArrayRandomChunkSize4;2;10000000;100;0;20000002
TieredArrayChunkSize8;2;10000000;100;0;40000000
TieredArrayRandomChunkSize8;2;10000000;100;0;20000002
TieredArrayChunkSize16;2;10000000;100;0;40000000
TieredArrayRandomChunkSize16;2;10000000;100;0;20000002
UnrolledLinkedListChunkSize8;2;10000000;100;0;26898850
UnrolledLinkedListRandomChunkSize8;2;10000000;100;0;23726364
UnrolledLinkedListChunkSize16;2;10000000;100;0;26177390
UnrolledLinkedListRandomChunkSize16;2;10000000;100;0;27658650
UnrolledLinkedListChunkSize32;2;10000000;100;0;27165080
UnrolledLinkedListRandomChunkSize32;2;10000000;100;0;28245850
std::vector;2;10000000;99;1;8200
std::vector_random;2;10000000;99;1;15600
std::forward_list;2;10000000;99;1;23772600
std::forward_list_random;2;10000000;99;1;423821800
TieredArrayChunkSize2;2;10000000;99;1;200
TieredArrayRandomChunkSize2;2;10000000;99;1;400
TieredArrayChunkSize4;2;10000000;99;1;200
TieredArrayRandomChunkSize4;2;10000000;99;1;400
TieredArrayChunkSize8;2;10000000;99;1;200
TieredArrayRandomChunkSize8;2;10000000;99;1;400
TieredArrayChunkSize16;2;10000000;99;1;200
TieredArrayRandomChunkSize16;2;10000000;99;1;400
UnrolledLinkedListChunkSize8;2;10000000;99;1;26044266
UnrolledLinkedListRandomChunkSize8;2;10000000;99;1;21170978
UnrolledLinkedListChunkSize16;2;10000000;99;1;26979439
UnrolledLinkedListRandomChunkSize16;2;10000000;99;1;25236556
UnrolledLinkedListChunkSize32;2;10000000;99;1;33139093
UnrolledLinkedListRandomChunkSize32;2;10000000;99;1;27718857
std::vector;2;10000000;90;10;800
std::vector_random;2;10000000;90;10;1480
std::forward_list;2;10000000;90;10;17144980
std::forward_list_random;2;10000000;90;10;193953300
TieredArrayChunkSize2;2;10000000;90;10;20
TieredArrayRandomChunkSize2;2;10000000;90;10;20
TieredArrayChunkSize4;2;10000000;90;10;20
TieredArrayRandomChunkSize4;2;10000000;90;10;20
TieredArrayChunkSize8;2;10000000;90;10;20
TieredArrayRandomChunkSize8;2;10000000;90;10;20
TieredArrayChunkSize16;2;10000000;90;10;20
TieredArrayRandomChunkSize16;2;10000000;90;10;20
UnrolledLinkedListChunkSize8;2;10000000;90;10;20859662
UnrolledLinkedListRandomChunkSize8;2;10000000;90;10;16016630
UnrolledLinkedListChunkSize16;2;10000000;90;10;57746590
UnrolledLinkedListRandomChunkSize16;2;10000000;90;10;16390156
UnrolledLinkedListChunkSize32;2;10000000;90;10;58226106
UnrolledLinkedListRandomChunkSize32;2;10000000;90;10;17124014
std::vector;2;10000000;50;50;164
std::vector_random;2;10000000;50;50;324
std::forward_list;2;10000000;50;50;12040232
std::forward_list_random;2;10000000;50;50;48309556
TieredArrayChunkSize2;2;10000000;50;50;4
TieredArrayRandomChunkSize2;2;10000000;50;50;4
TieredArrayChunkSize4;2;10000000;50;50;4
TieredArrayRandomChunkSize4;2;10000000;50;50;4
TieredArrayChunkSize8;2;10000000;50;50;4
TieredArrayRandomChunkSize8;2;10000000;50;50;4
TieredArrayChunkSize16;2;10000000;50;50;4
TieredArrayRandomChunkSize16;2;10000000;50;50;4
UnrolledLinkedListChunkSize8;2;10000000;50;50;32022346
UnrolledLinkedListRandomChunkSize8;2;10000000;50;50;3998323
UnrolledLinkedListChunkSize16;2;10000000;50;50;31553892
UnrolledLinkedListRandomChunkSize16;2;10000000;50;50;6117067
UnrolledLinkedListChunkSize32;2;10000000;50;50;29678390
UnrolledLinkedListRandomChunkSize32;2;10000000;50;50;6501827
